,Feeder_Category,CABLE_SIZE,No_of_times_exceeded_60_,LENGTH_OF_CABLE_MTRS_,NO__OF_JOINTS,AGE_YRS_,PILC,XLPE,DATE_ONLY,Average_Current,Peak_Current,Average_voltage,Peak_Voltage,target,Avg_Heat_Index,Peak_HI,Avg_humidity,Max_Humidity,Avg_TEMP,Max_TEMP,New_Summer,New_Monsoon,New_Winter,Feeder,Switch,Section Id,Pathid,Lat,Long,Feeder_Switch_ID_V1
0,0,2,0,586.6,7.0,36.0,1,1,08-01-2016,4.352916667,43.99,11.0471875,11.2,1,26.66751529,31.22482897,60.07864583,79.34,25.88791667,31.11,0,0,1,30462,10499,30462-10499-1,ApolloBandar,19.0007555,72.87692783,30462_10499_1
1,0,1,0,533.1,5.0,22.75098814229249,0,1,15-01-2016,4.416875,19.24,11.02166667,11.27,1,24.97567422,28.20256186,69.5909375,76.92,23.92708333,27.3,0,0,1,30462,10499,30462-10499-1,AzadMaidan,19.0001267,72.87703756,30462_10499_2
2,0,1,0,600.0,2.0,22.75098814229249,0,1,20-01-2016,14.33125,20.8,11.06614583,11.49,1,25.39410762,29.47917587,62.81375,73.11,23.75552083,29.36,0,0,1,30462,10499,30462-10499-1,MumbaiPortTrust,19.001115,72.87721174,30462_10499_3
3,0,0,0,682.5,5.0,23.0,1,0,25-01-2016,27.5353125,109.47,11.0,11.41,1,25.91446561,28.94234103,50.20145833,64.66,24.73489583,30.33,0,0,1,30462,10499,30462-10499-1,DrAmbedkarStatueChowkArea,19.000735,72.87730872,30462_10499_4
4,0,0,0,381.0,4.0,20.0,1,0,02-02-2016,0.845625,80.23,11.07791667,11.39,1,26.55376559,32.86373525,64.32864583,74.42,25.37291667,31.12,0,0,1,30462,10499,30462-10499-1,ApolloBandar,19.0050227,72.87892054,30462_10499_5
5,1,2,0,1613.43,21.0,22.75098814229249,1,1,05-02-2016,9.230416667,25.88,11.1046875,11.37,1,26.15847822,31.61253516,63.81625,77.25,25.17458333,30.9,0,0,1,30462,10499,30462-10499-1,ChhatrapatiShivajiTerminusArea,19.006666,72.87971431,30462_10499_6
6,0,2,0,908.0,3.0,22.75098814229249,1,0,17-02-2016,0.0,0.0,11.1275,11.34,0,26.77266653,31.91040682,66.22895833,80.83,25.93208333,30.73,0,0,1,30462,10499,30462-10499-3,AzadMaidan,19.0069082,72.87016005,30462_10499_7
7,0,0,0,1084.9,6.0,23.0,1,0,18-03-2016,58.21010417,137.21,11.16145833,11.4,1,30.9428615,37.86974581,76.82541667,92.66,27.88989583,32.35,1,0,0,30462,10499,30462-10499-1,KalaGhoda,19.009783,72.87205293,30462_10499_8
8,0,0,0,869.43,5.0,32.0,1,1,24-03-2016,60.77322917,71.58,10.97260417,11.12,0,30.64528286,35.80659905,64.60625,87.42,28.71072917,33.43,1,0,0,30462,10499,30462-10499-3,BallardEstate,19.013842,72.87236155,30462_10499_9
9,0,2,0,880.0,14.0,42.0,1,0,28-03-2016,27.92958333,98.03,11.00375,11.31,1,33.41387003,42.54965209,61.15625,77.8,30.33697917,35.93,1,0,0,30462,10499,30462-10499-1,MangalWadi,19.0267671,72.87338546,30462_10499_10
10,1,0,0,1003.0,3.0,20.0,1,0,28-03-2016,0.1,0.1,0.0,0.0,0,33.41387003,42.54965209,61.15625,77.8,30.33697917,35.93,1,0,0,30462,10499,30462-10499-1,FanasWadi,19.0314646,72.87724121,30462_10499_11
11,0,0,7,1609.71,26.0,20.0,1,1,07-04-2016,48.6834375,166.12,10.81583333,11.1,1,33.58337783,38.9240328,75.6984375,91.09,29.15864583,33.62,1,0,0,30462,10499,30462-10499-1,MarineLineEast,19.038779,72.8772727,30462_10499_12
